1,"[110,99,45,149,83,21]",110;99;45;149;83;21
1,"[121,34,89,58,82]",121;34;89;58;82
1,"[176,27]",176;27
1,"[44,122,126,9,73,151]",44;122;126;9;73;151
1,"[171,73,53]",171;73;53
1,"[56,16,119,60,73,153,142]",56;16;119;60;73;153;142
1,"[161,174]",161;174
1,"[124,158,59,162,21,87]",124;158;59;162;21;87
1,"[116,92,30]",116;92;30
1,"[13,41,98]",13;41;98
2,"[124,38,149,91,92,172]",124;38;149;91;92;172
2,"[13,146,107,92,153]",13;146;107;92;153
2,"[44,144,56,102,159,6,80,91]",44;144;56;102;159;6;80;91
2,"[48,129,108]",48;129;108
2,"[165,155,59,104,150]",165;155;59;104;150
2,"[100,136,118,92,93,32]",100;136;118;92;93;32
2,"[99,110,127,161,142,120,32]",99;110;127;161;142;120;32
2,"[89,68,108,150]",89;68;108;150
2,"[84,75]",84;75
2,"[110,123,157,60,76]",110;123;157;60;76
3,"[143,108]",143;108
3,"[67,30]",67;30
3,"[88,144,125,37,137,50,76]",88;144;125;37;137;50;76
3,"[77,113,4,128]",77;113;4;128
3,"[110,12,13,147,116,7,94]",110;12;13;147;116;7;94
3,"[165,156,47,141,32]",165;156;47;141;32
3,"[125,148,151,141]",125;148;151;141
3,"[14,27,80,70,150,164]",14;27;80;70;150;164
3,"[172,10]",172;10
3,"[158,106]",158;106
4,"[35,5]",35;5
4,"[113,148,60,63,130,20]",113;148;60;63;130;20
4,"[155,145,113]",155;145;113
4,"[67,114]",67;114
4,"[101,39,18,8,96,75,21]",101;39;18;8;96;75;21
4,"[132,155,94,153]",132;155;94;153
4,"[132,112,107,72,94,164]",132;112;107;72;94;164
4,"[121,114,138,83,51,74,164]",121;114;138;83;51;74;164
4,"[99,159,172]",99;159;172
4,"[111,124,29,72,73,151,20]",111;124;29;72;73;151;20
5,"[157,48,8,80,161]",157;48;8;80;161
5,"[121,22,133,134,102,114,119,30]",121;22;133;134;102;114;119;30
5,"[121,24,112,157,125,118,152]",121;24;112;157;125;118;152
5,"[165,99,13,47,105,73,151,43]",165;99;13;47;105;73;151;43
5,"[100,114,27,29,151,120]",100;114;27;29;151;120
5,"[155,124,136,128,97,76]",155;124;136;128;97;76
5,"[176,78]",176;78
5,"[144,122,46,158,137,108,84,51]",144;122;46;158;137;108;84;51
5,"[167,16,19]",167;16;19
5,"[35,146,125,27,139,108,60]",35;146;125;27;139;108;60
6,"[165,176,34,4,174]",165;176;34;4;174
6,"[68,92,109,95,150,30,43,87]",68;92;109;95;150;30;43;87
6,"[56,49,62,162,175]",56;49;62;162;175
6,"[68,167,146,149,107,51,162]",68;167;146;149;107;51;162
6,"[112,115,116,170,30,42,31,131]",112;115;116;170;30;42;31;131
6,"[44,35,61]",44;35;61
6,"[154,78,134,157,58,151,163]",154;78;134;157;58;151;163
6,"[157,135,96]",157;135;96
6,"[88,67,89,131]",88;67;89;131
6,"[144,119]",144;119
7,"[145,39]",145;39
7,"[146,26,70,82,141]",146;26;70;82;141
7,"[68,112,48]",68;112;48
7,"[1,137,65]",1;137;65
7,"[122,26,148,104,62]",122;26;148;104;62
7,"[133,167,125,41,20,174,32]",133;167;125;41;20;174;32
7,"[169,49,172,140]",169;49;172;140
7,"[121,14]",121;14
7,"[1,37,48,162,85,140,74,41]",1;37;48;162;85;140;74;41
7,"[168,91,162,163,130]",168;91;162;163;130
8,"[34,68,5,38,96,64,10]",34;68;5;38;96;64;10
8,"[114,119,108,43,164]",114;119;108;43;164
8,"[13,46,58,135,115,172]",13;46;58;135;115;172
8,"[89,27,95]",89;27;95
8,"[33,137,17,118,107,41,21,131]",33;137;17;118;107;41;21;131
8,"[77,11,156,61]",77;11;156;61
8,"[13,71]",13;71
8,"[154,37,114,126,72,171,53,142]",154;37;114;126;72;171;53;142
8,"[157,119,120]",157;119;120
8,"[34,36,48,9,170,160,172,64]",34;36;48;9;170;160;172;64
9,"[148,50,72]",148;50;72
9,"[67,115,95,164]",67;115;95;164
9,"[56,36,37,131]",56;36;37;131
9,"[22,138,8,92,30,141]",22;138;8;92;30;141
9,"[144,146,159,106,93,161,62]",144;146;159;106;93;161;62
9,"[57,124,135,36,158,53,174]",57;124;135;36;158;53;174
9,"[165,156,116,117,173,20,65]",165;156;116;117;173;20;65
9,"[145,169,127]",145;169;127
9,"[166,57,3,102,170,20]",166;57;3;102;170;20
9,"[121,78,13,146,102,83]",121;78;13;146;102;83
10,"[35,168,114,115,149,131]",35;168;114;115;149;131
10,"[68,129,92,60,95,175]",68;129;92;60;95;175
10,"[133,169,51]",133;169;51
10,"[1,38,19,93,171,95,141,75]",1;38;19;93;171;95;141;75
10,"[121,29,108]",121;29;108
10,"[23,89,67,155,124,126,32]",23;89;67;155;124;126;32
10,"[78,106,170]",78;106;170
10,"[12,167,15,172,21]",12;167;15;172;21
10,"[156,46,69,126,83]",156;46;69;126;83
10,"[1,168,3,48,19,40,161,31]",1;168;3;48;19;40;161;31
